Domain,Phylum,Class,Order,Family,Genus,Species,Abundance,Consortium,Date,Names,Freezer_Stock,Combined,Substrate,Freezer2
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.77794627,E209,2022-11-07,E209_Nov_7,NA,Rhodococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.02913778,E209,2022-11-07,E209_Nov_7,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.05824848,E209,2022-11-07,E209_Nov_7,NA,Brevundimonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.02545494,E209,2022-11-07,E209_Nov_7,NA,Chelatococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.00769064,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.00928834,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.05619042,E209,2022-11-07,E209_Nov_7,NA,Achromobacter,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,0.02285529,E209,2022-11-07,E209_Nov_7,NA,Pelagibacterium,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,NA,0.00779896,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,0.00208514,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_aeruginosa,0.00108319,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,NA,0.00102903,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA,2.1664e-4,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_aureus,3.2496e-4,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium_sp.,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,1.6248e-4,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_halodurans,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,4.8744e-4,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured_bacterium,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,0,E209,2022-11-07,E209_Nov_7,NA,Other < 1%,TPA,Bioreactor
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,0.93104554,E209,2022-11-11,E209_Nov_11,NA,Rhodococcus,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_mendocina,0.02621144,E209,2022-11-11,E209_Nov_11,NA,Pseudomonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,0.01329524,E209,2022-11-11,E209_Nov_11,NA,Brevundimonas,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus,NA,0.00303225,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,0.00349875,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,0.00842615,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,NA,0.00542306,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,NA,0.00338212,E209,2022-11-11,E209_Nov_11,NA,Other < 1%,TPA,Bioreactor
