Taxonomy,Sample,Abundance,basin,Phylum,Class,Order,Family,Core,Depth
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_04,747,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,0-4 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS,1410,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,,
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_1216,79,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,12-16 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,Med_04,641,Mediterranean,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,0-4 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_2024,386,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,20-24 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,Med_1216,345,Mediterranean,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,12-16 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_3235,327,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,32-35 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,Med_1620,1755,Mediterranean,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,16-20 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_48,493,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,4-8 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,Med_2428,1491,Mediterranean,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,24-28 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_2_812,432,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,2,8-12 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,Med_48,1293,Mediterranean,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,4-8 cm
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales,CS_48,491,Caspian,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,1,4-8 cm
