#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/BL5300/mambaforge/envs/MetaP/bin/metaphlan ../Metagenome_R1_trimmed.fastq.gz,../Metagenome_R2_trimmed.fastq.gz --bowtie2out metagenome.bowtie2.bz2 --nproc 2 --input_type fastq --bowtie2db /data/home/sharedDatabases/metaPhlan/ -o profiled_metagenome.txt
#5693270 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Actinobacteria	2|201174	64.30792	
k__Bacteria|p__Proteobacteria	2|1224	35.69208	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	64.30792	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	35.36187	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.18009	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.15012	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	35.36187	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.15012	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.12262	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.04892	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2|1224|28211|2800060	0.00856	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	64.30792	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	32.20517	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	2|1224|28216|80840|506	3.15671	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.15012	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Chelatococcaceae	2|1224|28211|356|2036754	0.12262	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	2|1224|28211|204458|76892	0.04892	
