geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g005000.2.1,0,0,0,0,0,0
Solyc00g005020.1.1,0,0,0,0,0,0
Solyc00g005040.2.1,0,0,0,0,0,0
Solyc00g005050.2.1,306,502,468,369,366,294
Solyc00g005060.1.1,0,0,0,0,0,0
Solyc00g005070.1.1,0,0,0,0,0,0
Solyc00g005080.1.1,0,0,0,0,2,0
Solyc00g005090.1.1,0,0,0,0,0,0
Solyc00g005100.1.1,0,0,0,0,0,0
Solyc00g005110.1.1,0,0,0,0,0,0
Solyc00g005120.1.1,0,0,0,0,0,0
Solyc00g005130.1.1,0,0,0,0,0,0
Solyc00g005140.1.1,0,0,0,0,0,0
Solyc00g005150.1.1,0,0,0,2,0,1
Solyc00g005160.1.1,0,0,0,0,0,0
Solyc00g005170.1.1,0,0,0,0,0,0
Solyc00g005180.1.1,0,0,0,0,0,0
Solyc00g005280.1.1,0,0,0,0,0,0
Solyc00g005420.1.1,0,0,0,0,0,0
Solyc00g005430.1.1,0,0,0,0,0,0
Solyc00g005440.1.1,0,0,0,0,0,0
Solyc00g005450.1.1,0,0,0,0,0,0
Solyc00g005460.1.1,0,0,0,0,0,0
Solyc00g005470.1.1,0,0,0,0,0,0
Solyc00g005480.1.1,0,0,0,0,0,0
Solyc00g005490.1.1,0,0,0,0,0,0
Solyc00g005840.2.1,422,394,209,440,453,371
Solyc00g005850.1.1,0,0,0,0,0,0
Solyc00g005860.1.1,0,1,0,3,0,0
Solyc00g005870.1.1,0,0,0,0,0,0
Solyc00g005880.1.1,0,0,0,0,0,0
Solyc00g005890.2.1,0,0,0,0,0,0
Solyc00g005900.1.1,0,0,0,0,0,0
Solyc00g005980.1.1,0,0,0,0,0,0
Solyc00g006010.1.1,0,0,0,0,0,0
Solyc00g006020.1.1,0,0,0,0,0,0
Solyc00g006050.1.1,0,0,0,0,0,0
Solyc00g006090.1.1,0,0,0,0,0,0
Solyc00g006170.1.1,0,0,0,0,0,0
Solyc00g006250.1.1,0,0,0,0,0,0
Solyc00g006470.1.1,18,45,67,15,26,16
Solyc00g006480.1.1,0,0,0,0,0,0
Solyc00g006490.2.1,533,345,435,618,616,527
Solyc00g006500.1.1,0,0,0,0,0,0
Solyc00g006510.1.1,0,0,0,0,0,0
Solyc00g006520.1.1,0,0,0,0,0,0
Solyc00g006530.1.1,0,0,0,0,0,0
Solyc00g006540.1.1,0,0,0,0,0,0
Solyc00g006550.1.1,0,0,0,0,0,0
Solyc00g006560.1.1,0,0,0,0,0,0
Solyc00g006570.1.1,0,0,0,0,0,0
Solyc00g006590.1.1,0,0,0,0,0,0
Solyc00g006600.1.1,0,0,0,0,0,0
Solyc00g006630.1.1,0,0,0,0,0,0
Solyc00g006650.1.1,0,0,0,0,0,0
Solyc00g006660.1.1,0,0,0,0,0,0
Solyc00g006670.2.1,0,0,0,0,0,0
Solyc00g006680.1.1,0,0,0,0,0,0
Solyc00g006690.2.1,13,35,101,13,24,24
Solyc00g006700.1.1,0,0,0,0,0,0
Solyc00g006800.2.1,2201,1579,1262,2082,2130,1765
Solyc00g006810.2.1,135,150,181,159,128,134
Solyc00g006820.2.1,700,377,247,667,577,481
Solyc00g006830.2.1,1135,597,497,1215,1165,908
Solyc00g006840.2.1,0,0,0,0,0,0
Solyc00g006850.1.1,0,0,0,7,10,2
Solyc00g006860.1.1,0,0,0,0,0,0
Solyc00g006870.1.1,0,0,0,0,0,0
Solyc00g006880.1.1,0,0,0,0,0,0
Solyc00g006890.1.1,0,0,0,0,0,0
Solyc00g006900.1.1,0,0,0,2,8,2
Solyc00g007000.1.1,0,0,0,0,0,1
Solyc00g007010.2.1,824,754,1818,493,427,396
Solyc00g007020.1.1,0,0,0,0,0,0
Solyc00g007030.1.1,0,0,0,0,0,0
Solyc00g007040.1.1,0,0,0,0,0,0
Solyc00g007050.1.1,0,0,0,0,0,0
Solyc00g007060.2.1,234,166,161,300,282,231
Solyc00g007070.2.1,1434,1227,1410,2256,2200,1661
Solyc00g007080.2.1,206,271,712,132,99,62
Solyc00g007090.2.1,159,283,373,195,148,134
Solyc00g007100.2.1,3336,2155,3580,3613,2640,2791
Solyc00g007110.2.1,282,101,57,280,243,224
Solyc00g007120.2.1,367,227,319,386,338,282
Solyc00g007130.2.1,65,100,47,81,55,49
Solyc00g007140.1.1,14,3,1,34,34,30
Solyc00g007150.2.1,21,7,10,93,99,64
Solyc00g007160.1.1,9,0,0,19,30,10
Solyc00g007170.1.1,1,1,0,3,1,4
Solyc00g007180.1.1,0,0,0,0,2,0
Solyc00g007190.2.1,286,279,758,139,106,104
Solyc00g007200.2.1,138,137,162,208,237,137
Solyc00g007210.1.1,0,0,0,0,0,0
Solyc00g007220.2.1,83,83,71,89,68,68
Solyc00g007230.1.1,0,0,0,0,0,0
Solyc00g007240.1.1,0,0,0,0,0,0
Solyc00g007250.1.1,0,0,0,0,0,0
Solyc00g007260.2.1,187,154,147,365,392,282
Solyc00g007270.2.1,702,890,884,1088,1065,815
Solyc00g007290.1.1,2,0,3,0,2,1
Solyc00g007300.2.1,461,392,181,265,277,213
Solyc00g007310.1.1,0,0,0,0,0,0
